GEO_ID,NAME,B08301_001E,B08301_001M,B08301_002E,B08301_002M,B08301_003E,B08301_003M,B08301_004E,B08301_004M,B08301_005E,B08301_005M,B08301_006E,B08301_006M,B08301_007E,B08301_007M,B08301_008E,B08301_008M,B08301_009E,B08301_009M,B08301_010E,B08301_010M,B08301_011E,B08301_011M,B08301_012E,B08301_012M,B08301_013E,B08301_013M,B08301_014E,B08301_014M,B08301_015E,B08301_015M,B08301_016E,B08301_016M,B08301_017E,B08301_017M,B08301_018E,B08301_018M,B08301_019E,B08301_019M,B08301_020E,B08301_020M,B08301_021E,B08301_021M
06037408133,Census Tract 4081.33; Los Angeles County; California,3061,624,2742,590,2305,593,437,166,371,155,7,11,0,19,48,48,11,19,110,77,99,75,11,17,0,19,0,19,0,19,0,19,0,19,0,19,40,40,0,19,169,107
06037408134,Census Tract 4081.34; Los Angeles County; California,1463,238,1213,175,1044,160,169,70,81,51,78,60,10,14,0,13,0,13,17,16,17,16,0,13,0,13,0,13,0,13,0,13,15,23,0,13,0,13,0,13,218,168
06037408135,Census Tract 4081.35; Los Angeles County; California,1994,555,1498,327,1359,331,139,73,109,58,0,13,0,13,13,19,17,25,43,35,16,24,0,13,11,18,16,21,0,13,0,13,0,13,0,13,0,13,15,25,438,351
06037408136,Census Tract 4081.36; Los Angeles County; California,1944,317,1656,252,1529,249,127,88,89,79,18,28,20,20,0,13,0,13,39,36,11,17,0,13,28,23,0,13,0,13,11,16,66,60,0,13,73,114,9,14,90,59
06037408137,Census Tract 4081.37; Los Angeles County; California,2087,265,1770,262,1563,242,207,83,188,82,19,30,0,13,0,13,0,13,58,40,0,13,7,11,51,39,0,13,0,13,0,13,9,14,0,13,11,20,53,55,186,142
06037408138,Census Tract 4081.38; Los Angeles County; California,2190,466,2002,462,1646,379,356,207,303,187,0,19,0,19,53,59,0,19,73,57,22,29,35,40,16,27,0,19,0,19,0,19,0,19,0,19,4,14,24,36,87,78
06037408139,Census Tract 4081.39; Los Angeles County; California,2007,315,1844,316,1435,324,409,148,307,126,60,36,36,31,0,13,6,10,38,29,38,29,0,13,0,13,0,13,0,13,0,13,0,13,0,13,30,33,13,14,82,55
06037408140,Census Tract 4081.40; Los Angeles County; California,1833,347,1636,289,1381,229,255,115,161,105,88,41,6,9,0,13,0,13,53,30,53,30,0,13,0,13,0,13,0,13,0,13,0,13,0,13,14,16,78,128,52,38
06037408141,Census Tract 4081.41; Los Angeles County; California,2214,310,2155,308,1750,286,405,207,196,125,55,51,60,59,90,119,4,8,13,20,13,20,0,13,0,13,0,13,0,13,0,13,0,13,0,13,23,26,0,13,23,19
06037408212,Census Tract 4082.12; Los Angeles County; California,2112,325,1845,341,1407,300,438,193,360,160,74,82,4,16,0,13,0,13,26,36,26,36,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,241,116
06037408213,Census Tract 4082.13; Los Angeles County; California,3075,458,2806,478,2577,480,229,100,222,100,0,19,0,19,7,11,0,19,78,60,78,60,0,19,0,19,0,19,0,19,0,19,8,12,7,13,11,18,0,19,165,102
06037408301,Census Tract 4083.01; Los Angeles County; California,3074,674,2826,654,2552,674,274,123,208,94,66,73,0,19,0,19,0,19,99,77,99,77,0,19,0,19,0,19,0,19,0,19,0,19,0,19,67,51,0,19,82,65
06037408302,Census Tract 4083.02; Los Angeles County; California,1571,228,1366,205,1150,197,216,107,176,95,40,44,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,23,26,0,13,0,13,182,103
06037408303,Census Tract 4083.03; Los Angeles County; California,2008,391,1847,416,1535,365,312,198,286,184,14,24,12,22,0,13,0,13,42,36,34,34,0,13,8,16,0,13,0,13,13,21,11,22,0,13,0,13,0,13,95,85
06037408401,Census Tract 4084.01; Los Angeles County; California,2055,322,1917,324,1668,308,249,126,222,114,17,27,10,13,0,13,0,13,43,55,43,55,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,21,85,63
06037408402,Census Tract 4084.02; Los Angeles County; California,3181,396,2682,395,2431,388,251,133,201,124,33,36,0,19,17,30,0,19,56,48,43,42,0,19,13,20,0,19,0,19,0,19,0,19,55,40,25,37,36,38,327,142
06037408503,Census Tract 4085.03; Los Angeles County; California,3117,521,2533,499,2054,446,479,267,245,125,81,99,89,81,64,97,0,19,47,39,47,39,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,37,52,500,158
06037408504,Census Tract 4085.04; Los Angeles County; California,2527,427,1960,340,1781,334,179,86,145,95,0,19,22,32,12,18,0,19,63,45,63,45,0,19,0,19,0,19,0,19,43,65,0,19,0,19,42,48,33,27,386,145
06037408505,Census Tract 4085.05; Los Angeles County; California,1102,138,1037,128,880,116,157,68,72,48,49,43,0,13,36,30,0,13,14,22,9,21,0,13,0,13,0,13,5,7,0,13,0,13,0,13,0,13,8,14,43,28
06037408623,Census Tract 4086.23; Los Angeles County; California,1363,319,1181,314,1128,314,53,30,21,18,24,18,2,4,6,10,0,13,36,31,36,31,0,13,0,13,0,13,0,13,0,13,0,13,0,13,12,18,18,18,116,49
06037408624,Census Tract 4086.24; Los Angeles County; California,1376,241,1154,189,990,169,164,76,128,60,28,44,0,13,8,16,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,29,42,0,13,193,106
06037408625,Census Tract 4086.25; Los Angeles County; California,1840,280,1492,249,1398,222,94,53,77,51,17,19,0,13,0,13,0,13,104,91,96,92,0,13,0,13,8,12,0,13,0,13,0,13,0,13,0,13,8,12,236,81
06037408626,Census Tract 4086.26; Los Angeles County; California,2028,398,1648,314,1349,286,299,165,201,119,27,46,39,46,32,32,0,13,11,18,0,13,0,13,11,18,0,13,0,13,0,13,0,13,0,13,47,38,19,30,303,154
06037408627,Census Tract 4086.27; Los Angeles County; California,1466,213,1288,229,1135,222,153,54,86,41,54,45,9,12,0,13,4,6,22,13,9,10,0,13,4,6,9,10,0,13,0,13,0,13,0,13,8,13,39,36,109,55
06037408628,Census Tract 4086.28; Los Angeles County; California,2347,438,1906,434,1513,287,393,230,277,181,14,18,27,45,75,65,0,19,100,76,100,76,0,19,0,19,0,19,0,19,0,19,0,19,0,19,6,8,7,12,328,134
06037408629,Census Tract 4086.29; Los Angeles County; California,1515,213,1247,190,1103,198,144,75,138,75,0,13,0,13,0,13,6,8,17,15,10,10,0,13,7,10,0,13,0,13,0,13,0,13,0,13,107,105,29,20,115,72
06037408631,Census Tract 4086.31; Los Angeles County; California,2396,629,1864,433,1568,431,296,136,262,138,34,51,0,19,0,19,0,19,197,224,197,224,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,335,113
06037408703,Census Tract 4087.03; Los Angeles County; California,2612,284,2162,322,2015,306,147,63,132,60,0,19,6,11,9,14,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,8,14,0,19,19,21,14,22,409,180
06037408705,Census Tract 4087.05; Los Angeles County; California,2368,314,2038,300,1634,359,404,229,286,192,64,100,54,61,0,19,0,19,10,15,10,15,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,30,28,290,130
06037408707,Census Tract 4087.07; Los Angeles County; California,3085,529,2390,381,2161,357,229,132,164,124,29,26,31,31,0,19,5,9,49,38,20,21,0,19,29,24,0,19,0,19,0,19,0,19,0,19,0,19,70,71,576,245
06037408722,Census Tract 4087.22; Los Angeles County; California,2087,369,1829,318,1479,296,350,176,307,144,22,31,21,31,0,13,0,13,21,26,2,5,0,13,19,26,0,13,0,13,0,13,0,13,0,13,0,13,0,13,237,149
06037408724,Census Tract 4087.24; Los Angeles County; California,2652,423,2286,383,2005,353,281,151,183,101,98,102,0,19,0,19,0,19,217,171,204,169,13,20,0,19,0,19,0,19,0,19,0,19,0,19,88,94,0,19,61,50
06037408725,Census Tract 4087.25; Los Angeles County; California,2773,320,2395,306,2117,308,278,127,241,130,23,26,3,5,6,10,5,12,6,11,6,11,0,19,0,19,0,19,0,19,0,19,0,19,0,19,31,29,0,19,341,129
06037408800,Census Tract 4088; Los Angeles County; California,2231,320,1845,288,1541,240,304,117,293,116,11,17,0,13,0,13,0,13,73,62,73,62,0,13,0,13,0,13,0,13,45,54,0,13,40,46,57,48,10,2,161,76
06037408900,Census Tract 4089; Los Angeles County; California,2450,411,2030,376,1812,417,218,126,208,122,0,19,0,19,0,19,10,16,19,24,13,22,0,19,6,9,0,19,0,19,7,12,36,41,0,19,31,29,45,54,282,169
06037409000,Census Tract 4090; Los Angeles County; California,3457,854,3159,825,2599,611,560,316,459,292,21,39,80,89,0,19,0,19,171,266,33,54,0,19,0,19,138,268,0,19,0,19,0,19,0,19,26,47,0,19,101,88
06037409100,Census Tract 4091; Los Angeles County; California,2399,409,2002,319,1689,282,313,139,205,101,93,57,15,15,0,19,0,19,151,137,151,137,0,19,0,19,0,19,0,19,14,16,0,19,5,9,12,25,0,19,215,90
06037430003,Census Tract 4300.03; Los Angeles County; California,2356,648,1962,650,1743,553,219,133,63,46,88,108,68,93,0,13,0,13,77,71,67,69,10,16,0,13,0,13,0,13,55,58,0,13,0,13,0,13,11,16,251,72
06037430004,Census Tract 4300.04; Los Angeles County; California,1476,226,1250,188,1075,197,175,90,175,90,0,13,0,13,0,13,0,13,26,30,26,30,0,13,0,13,0,13,0,13,30,48,0,13,0,13,0,13,15,25,155,91
06037430005,Census Tract 4300.05; Los Angeles County; California,1980,277,1415,241,1375,230,40,45,28,42,0,13,12,20,0,13,0,13,33,54,0,13,0,13,33,54,0,13,0,13,0,13,0,13,0,13,70,72,0,13,462,239
06037430101,Census Tract 4301.01; Los Angeles County; California,1998,307,1578,313,1460,314,118,67,52,43,44,44,0,13,0,13,22,28,86,54,33,23,35,42,8,13,10,16,0,13,0,13,0,13,14,22,97,55,42,36,181,99
06037430102,Census Tract 4301.02; Los Angeles County; California,2323,452,2029,455,1785,410,244,119,198,109,40,39,6,9,0,19,0,19,84,61,75,60,9,15,0,19,0,19,0,19,0,19,0,19,0,19,84,60,24,33,102,69
06037430200,Census Tract 4302; Los Angeles County; California,377,74,303,66,268,61,35,20,33,20,2,3,0,13,0,13,0,13,13,12,8,9,5,8,0,13,0,13,0,13,0,13,0,13,2,3,0,13,2,4,57,23
06037430301,Census Tract 4303.01; Los Angeles County; California,2170,350,1637,306,1551,296,86,73,46,48,40,60,0,13,0,13,0,13,19,18,14,15,0,13,0,13,5,9,0,13,0,13,0,13,17,26,4,12,20,22,473,178
06037430302,Census Tract 4303.02; Los Angeles County; California,2601,315,2040,294,1947,284,93,89,76,85,12,21,0,19,0,19,5,11,32,44,0,19,27,41,0,19,5,10,0,19,0,19,18,29,0,19,27,31,11,17,473,207
06037430400,Census Tract 4304; Los Angeles County; California,2066,389,1496,305,1339,301,157,80,131,71,15,20,0,13,0,13,11,16,9,15,0,13,0,13,0,13,9,15,0,13,0,13,0,13,0,13,10,17,18,28,533,206
06037430501,Census Tract 4305.01; Los Angeles County; California,2537,561,1645,389,1589,390,56,47,56,47,0,13,0,13,0,13,0,13,224,260,10,17,189,259,25,41,0,13,0,13,0,13,0,13,0,13,11,19,11,18,646,223
